2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.PYTHUSDT len=101
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ORDIUSDT len=78
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LINKUSDT len=117
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=134
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=182
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LINKUSDT len=80
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=77
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=113
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=78
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=96
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ORDIUSDT len=78
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=87
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=77
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.LINKUSDT len=78
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.PYTHUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=97
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=140
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=119
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.AVAXUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=87
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=100
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=98
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.BTCUSDT len=82
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.DOGEUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.PYTHUSDT len=102
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.IMXUSDT len=175
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=87
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SUIUSDT len=79
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.PYTHUSDT len=157
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.FLOKIUSDT len=113
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:32 [WS] ob msg: orderbook.50.TIAUSDT len=101
